title,grup,url
Youtube Deneme,-,https://www.youtube.com/watch?v=bqHfd5_395E
Twitch Deneme,-,https://www.twitch.tv/caedrel
Dailymotion Deneme,-,https://www.dailymotion.com/video/x8j5j9u
Sabır,-,www.youtube.com/shorts/NlhsQ7STOyo
Ava Yaman - Ana Desen Ana Yok,MÜZİK,https://www.youtube.com/watch?v=wsePeMRb7o8
Ava Yaman - Benim Dünyam,MÜZİK,https://www.youtube.com/watch?v=vH2hAm6c0RI
Ava Yaman - Dağuna DUman Olurum,MÜZİK,https://www.youtube.com/watch?v=k1QUtxGgMuo
Ava Yaman - Kara Bulut,MÜZİK,https://www.youtube.com/watch?v=DM_UKb4uEyU
Ava Yaman - Bağladılar Dilimi,MÜZİK,https://www.youtube.com/watch?v=0xzcP6h_acM
Ava Yaman - Mahşerde Kavuşacağız,MÜZİK,https://www.youtube.com/watch?v=w5DOmmTQ35U
Ava Yaman - Sevdaluk Zor Kelime,MÜZİK,https://www.youtube.com/watch?v=UDAe6kLm3Yo
Hilal Düzenli - Yok Başka Hayalim,MÜZİK,https://www.youtube.com/watch?v=HWYpQUtqOt4
Deniz Baysal - Ha Bu Deniz Taşacak,MÜZİK,https://www.youtube.com/watch?v=z222r-WJQTE
Deniz Baysal - Taşacak Bu Deniz,MÜZİK,https://www.youtube.com/watch?v=eiPx7kQfj-4
Tan Taşçı - Yok Başka Hayalim,MÜZİK,https://www.youtube.com/watch?v=Ae7iePAUV14
Tan Taşçı - Herhalde,MÜZİK,https://www.youtube.com/watch?v=gekWSsdSf5Y
Tan Taşçı - Ona Söyle,MÜZİK,https://www.youtube.com/watch?v=0w7AXnFQgDw
Çürük Dişleri Evde Onarmanın Sırrı! (Diş Hekimlerinin Bile Bilmediği Bilim!),SAĞLIK,https://www.youtube.com/watch?v=MFa8yZuQ7bU
On yıl boyunca başım ağrıdı bu egzersizi yaptım ve yirmi yıldır ağrım yok!,SAĞLIK,https://www.youtube.com/watch?v=ZvJvdaaBX2Y
Grizzy ve Lemingler Canlı,ÇİZGİ FİLM,https://www.youtube.com/watch?v=0BISPwH_qFM
Mr. Bean - Eğlenceli Anlar,ÇİZGİ FİLM,https://www.youtube.com/watch?v=rLRXRUk4E_k
Mr. Bean - Ödül,ÇİZGİ FİLM,https://www.youtube.com/watch?v=6gOcU6phBkY
Mr. Bean - Süper Ajan,ÇİZGİ FİLM,https://www.youtube.com/watch?v=gPNztnF4gKM
Mr. Bean - Vapur Seyahati Kazan,ÇİZGİ FİLM,https://www.youtube.com/watch?v=xNy1rqhk8n8
Mr. Bean - Yatak Günü,ÇİZGİ FİLM,https://www.youtube.com/watch?v=NZLYXL2HYKI
Mr. Bean - Yönetmen,ÇİZGİ FİLM,https://www.youtube.com/watch?v=RiIOVC6G-9k
